题号,题干,A,B,C,D,E,答案,难度,题型
10100,准确地解决"软件系统必须做什么"是（   ）阶段的任务。,可行性研究,详细设计,需求分析,编码.,,C,需求分析,单选题
10101,在SD方法中全面指导模块划分的最重要的原则是（）,程序模块化,模块高内聚,模块低耦合,模块独立性,,D,结构化设计,单选题
10102,以使用某购票系统进行国内车票购买的过程为例，如果需要针对相关业务流程设计测试用例，则如下描述中正确的是（     ）。,成功登录系统，出发地城市分别选择100个不存在的、或不在中国境内的城市，无法购票，对应同一个备选事件流,成功登录系统，为已有乘车人成功购买单程单张车票，以及为已有乘车人成功购买单程多张车票，这两个流程分别对应两个基本事件流,系统登录失败，该流程对应的是备选事件流,成功登录系统，为已有乘车人成功购买单程、单张车票，该流程对应的是基本事件流,,D,UM,单选题
10103,某企业信息管理系统中，采购子系统根据材料的价格、数量等信息计算采购的金额，并给财务子系统传递采购金额、收款方和采购日期等信息，则这两个子系统之间的耦合类型属于（）耦合,数据,标记,控制,外部,,A,结构化设计,单选题
10104,假设选修课程数目的输入范围为1-4，则根据黑盒测试中的等价类划分技术，下列划分正确的是（）,2个有效等价类，2个无效等价类,1个有效等价类，2个无效等价类,2个有效等价类，1个无效等价类,1个有效等价类，1个无效等价类,,B,软件测试,单选题
10105,时序图反映对象之间发送消息的时间顺序，它与（）是同构图。,用例图,类图,活动图,协作图,,D,UM,单选题
10106,结构化分析方法中，数据流图中的元素在（ ）中进行定义。,加工逻辑,实体联系图,流程图,数据字典,,D,结构化分析,单选题
10107,以下关于UML状态图中转换的叙述中，不正确的是（ ）。,活动可以在转换时执行也可以在状态内执行,监护条件只有在相应的事件发生时才进行检查,一个转换可以有事件触发器、监护条件和一个状态,事件触发转换,,C,UM,单选题
10108,耦合是模块之间的相对独立性（互相连接点紧密程度）的度量。耦合程度不取决于（   ）,调用模块的方式,各个模块之间接口的复杂程度,通过接口的信息类型,模块提供的功能数,,D,结构化设计,单选题
10109,软件质量属性中（   ）是指软件每分钟可以处理多少个请求。,响应时间,吞吐量,负载,容量,,B,需求分析,单选题
10110,进行需求分析可使用多种工具，但（   ）是不适用的。,数据流图,PAD图,状态转换图,数据词典,,B,结构化分析,单选题
10111,黑盒测试技术不包括（    ）,等价类划分,路径覆盖,边界值分析,错误推测,,B,软件测试,单选题
10112,以下关于UML状态图中转换（transition）的叙述中，不正确的是（ ）。,活动可以在转换时执行也可以在状态内执行,监护条件只有在相应的事件发生时才进行检查,一个转换可以有事件触发器、监护条件和一个状态,事件触发转换,,C,UM,单选题
10113,以使用某购票系统进行国内车票购买的过程为例，如果需要针对相关业务流程设计测试用例，则如下描述中错误的是（     ）。,成功登录系统，出发地城市分别选择100个不存在的、或不在中国境内的城市，无法购票，对应同一个备选事件流,成功登录系统，为已有乘车人成功购买单程单张车票，以及为已有乘车人成功购买单程多张车票，这两个流程分别对应两个基本事件流,系统登录失败，该流程对应的是备选事件流,成功登录系统，为已有乘车人成功购买单程、单张车票，该流程对应的是基本事件流,,B,UM,单选题
10114,软件开发过程中，需求分析阶段的输出不包括（  ）。,流图,实体联系图,数据字典,软件体系结构图,,D,需求分析,单选题
10115,面向数据流的软件设计方法可将（  ）映射成软件结构。,控制结构,模块,数据流,事物流,,C,结构化设计,单选题
10116,需求规格说明书的作用不包括 （    ）,软件验收的依据,用户与开发人员对软件要做什么的共同理解,软件可行性研究的依据,软件设计的依据,,C,需求分析,单选题
10117,以下四种逻辑覆盖中，发现错误能力最强的是（）,语句覆盖,条件覆盖,判定覆盖,条件组合覆盖,,D,软件测试,单选题
10118,用结构化方法开发软件过程中，需求分析阶段的输出包括（  ）。,流图,实体联系图,数据字典,软件体系结构图,,D,结构化分析,单选题
10119,软件工程的三要素是（）。,技术、方法和工具,方法、对象和类,方法、工具和过程,过程、模型、方法,,C,软件工程概述,单选题
10120,假设选修课程数目的输入范围为1-4，则根据黑盒测试中的等价类划分技术，下列划分正确的是（）,2个有效等价类，2个无效等价类,1个有效等价类，2个无效等价类,2个有效等价类，1个无效等价类,1个有效等价类，1个无效等价类,,B,软件测试,单选题
10121,时序图反映对象之间发送消息的时间顺序，它与（）是同构图。,用例图,类图,活动图,协作图,,D,UM,单选题
10122,结构化分析方法的基本思想是（）。,自底向上逐步分解,自顶向下逐步分解,自底向上逐步抽象,自顶向下逐步抽象,,B,结构化分析,单选题
10123,以下关于UML状态图中转换（transition）的叙述中，正确的是（ ）。,活动可以在转换时执行也可以在状态内执行,监护条件只有在相应的事件发生时才进行检查,一个转换可以有事件触发器、监护条件和一个状态,事件触发转换,,D,UM,单选题
10124,进行需求分析可使用多种 tools，但（）是不适用的。,数据流图,PAD图,状态转换图,数据词典,,B,结构化分析,单选题
10125,黑盒测试技术不包括（    ）,等价类划分,路径覆盖,边界值分析,错误推测,,B,软件测试,单选题
10126,面向数据流的软件设计方法可将（  ）映射成软件结构。,控制结构,模块,数据流,事物流,,C,结构化设计,单选题
10127,数据字典是用来定义（  ）中的各个成份的具体含义的。,流程图,功能结构图,系统结构图,数据流图,,D,结构化分析,单选题
10128,需求规格说明书的作用不包括 （    ）,软件验收的依据,用户与开发人员对软件要做什么的共同理解,软件可行性研究的依据,软件设计的依据,,C,需求分析,单选题
10129,以下四种逻辑覆盖中，发现错误能力最强的是（）,语句覆盖,条件覆盖,判定覆盖,条件组合覆盖,,D,软件测试,单选题
10130,瀑布模型的存在问题是（）,用户容易参与开发,缺乏灵活性,用户与开发者易沟通,适用可变需求,,B,软件过程,单选题
10131,若一个学生可以在一所或者多所学校注册学习，那么这种关联关系称为 （）。,依赖,泛化,组合,聚合,,D,未分类,单选题
10132,某企业信息管理系统中，采购子系统根据材料的价格、数量等信息计算采购的金额，并给财务子系统传递采购金额、收款方和采购日期等信息，则这两个子系统之间的耦合类型属于（）耦合,数据,标记,控制,外部,,A,结构化设计,单选题
10133,"采用白盒测试方法对下图进行测试，设计了4个测试用例：①(x=0，y=3)，②( x=1 y=2)，③(x=-1，y=2)，④(x=3, y=1)。至少需要测试用例①②③或①②④才能完成(   )覆盖。",语句,条件,判定／条件,路径,,C,未分类,单选题
10134,汽车有一个发动机，汽车和发动机之间的关系是（  ）关系,关联,聚合,组合,依赖,,C,未分类,单选题
10135,准确地解决"软件系统必须做什么"是（   ）阶段的任务。,可行性研究,详细设计,需求分析,编码,,C,未分类,单选题
10136,画分层数据流图的基本原则有 (          ）,数据守恒原则,子、父图平衡的原则,分解的可靠性原则,数据流封闭的原则,,B,未分类,单选题
10137,下列几种耦合中，（    ）的耦合性最强。,公共耦合,数据耦合,内容耦合,控制耦合,,C,未分类,单选题
10138,软件从一个计算机系统或环境转移到另一个计算系统或环境的容易程度。这个描述是指软件的（）,可理解性,可靠性,可移植性,兼容性,,C,未分类,单选题
10139,过程设计的基本任务是确定每个模块的（   ）设计。,功能,调用关系,输入输出数据,算法,,D,未分类,单选题
10140,汽车有一个发动机，汽车和发动机之间的关系是（   ）关系。,泛化,关联,组合,聚合,,C,未分类,单选题
10141,根据McCabe度量法，以下程序图的复杂性度量值为（     )。,4,5,6,7,,C,未分类,单选题
10142,针对应用在运行期的数据特点，修改其排序算法使其更高效，属于（   )维护。,正确性,适应性,完善性,预防性,,C,未分类,单选题
10143,以下哪种软件测试方法最常用于检查程序的功能正确性？,黑盒测试,白盒测试,灰盒测试,单元测试,,A,未分类,单选题
10144,模块内的某成分的输出是另一些成分的输入，该模块的内聚度为,顺序内聚,过程内聚,逻辑内聚,通信内聚,,A,未分类,单选题
10145,准确地解决"软件系统必须做什么"是（   ）阶段的任务。,可行性研究,详细设计,需求分析,编码,,C,未分类,单选题
10146,在敏捷开发中，产品负责人的角色是（）,管理整个项目,确定项目计划,代表用户并确定需求,进行系统测试,,C,未分类,单选题
10147,软件是一种（ ）产品,有形,逻辑,物质,消耗,,B,未分类,单选题
10148,在敏捷开发中，产品负责人的角色是（）,管理整个项目,确定项目计划,代表用户并确定需求,进行系统测试,,C,未分类,单选题
10149,如果要表示待开发软件系统中软件组件和硬件之间的物理关系，通常采用UML中的（  ）,组件图,部署图,软件结构图,网络图,,B,未分类,单选题
10150,以下哪种软件测试方法最常用于检查程序的功能正确性？,黑盒测试,白盒测试,灰盒测试,单元测试,,A,未分类,单选题
10151,下列哪个是敏捷开发中的一个核心实践？,大量的计划和文档,固定不变的需求,反复迭代和快速交付,详细的设计和规范,,C,未分类,单选题
10152,如下所示的UML顺序图中，（  ）表示返回消息,balance,tansID,withdraw,deposit,,D,未分类,单选题
10153,过程设计的基本任务是确定每个模块的（   ）设计。,功能,调用关系,输入输出数据,算法,,D,未分类,单选题
10154,在结构化设计中，什么是"模块内聚性"？,模块的独立性和重用性,模块内部的功能关联性,模块的复杂度,模块的测试计划,,B,未分类,单选题
10155,某开发小组欲为一公司开发一个产品控制软件，监控产品的生产和销售过程，从购买各种材料开始，到产品的加工和销售进行全程跟踪。购买材料的流程、产品的加工过程以及销售过程可能会发生变化。该软件的开发最不适宜采用（    ）模型,原型,瀑布,增量,喷泉,,B,未分类,单选题
10156,根据McCabe度量法，以下程序图的复杂性度量值为（     )。,4,5,6,7,,C,未分类,单选题
10157,在软件需求分析中有一些基本原则，例如必须按（ ）、逐层分解的方式对问题进行分解和不断细化。,自底向上,自顶向下,自内向外,自外向内,,B,结构化分析,单选题
10158,针对应用在运行期的数据特点，修改其排序算法使其更高效，属于（     )维护。,正确性,完善性,适应性,预防性,,B,未分类,单选题
10159,下列是白盒测试中常用的方法的是（）,因果图分析,正交实验法,路径测试,等价类分析,,C,未分类,单选题
10160,白盒测试法是根据程序的（  ）来设计测试用例的方法。,输出数据,内部逻辑,功能,输入数据,,B,未分类,单选题
10161,包含风险分析的软件工程模型是(  ）,喷泉模型,瀑布模型,增量模型,螺旋模型,,D,软件过程,单选题
10162,下面哪种图最适合对一个复杂用例中的业务处理流程进行进一步建模。,状态图,活动图,类图,顺序图,,B,未分类,单选题
10163,敏捷开发方法的核心理念是（）,完备的文档,稳定的需求,灵活应对变化,详细的设计,,C,未分类,单选题
10164,螺旋模型综合了(     )的优点，并增加了风险分析。,增量模型和喷泉模型,瀑布模型和演化模型,演化模型和喷泉模型,原型模型和喷泉模型,,B,未分类,单选题
10165,数据流图中的箭头代表（  ）,数据流,加工,源点,数据源,,A,未分类,单选题
10166,在软件开发过程中，系统测试阶段的测试目标来自于（    ）阶段。,需求分析,概要设计,详细设计,软件实现,,A,未分类,单选题
10167,下列是白盒测试中常用的方法的是（）,因果图分析,正交实验法,路径测试,等价类分析,,C,未分类,单选题
10168,画分层DFD图的基本原则有 (          ）,数据守恒原则,分解的可靠性原则,子、父图平衡的原则,数据流封闭的原则,,C,未分类,单选题
10169,某开发小组欲为一公司开发一个产品控制软件，监控产品的生产和销售过程，从购买各种材料开始，到产品的加工和销售进行全程跟踪。购买材料的流程、产品的加工过程以及销售过程可能会发生变化。该软件的开发最不适宜采用（    ）模型,瀑布,原型,增量,喷泉,,A,未分类,单选题
10170,如下所示的UML顺序图中，（    ）表示返回消息,tansID,balance,withdraw,deposit,,B,未分类,单选题
10171,下列几种耦合中，（    ）的耦合性最弱。,公共耦合,数据耦合,控制耦合,内容耦合,,B,未分类,单选题
10172,用例是对什么的描述？,用户的特征,系统的状态,系统的功能,数据的流动,,C,未分类,单选题
10173,对一个复杂用例中的业务处理流程进行进一步建模的最佳工具是UML（   ）,状态图,顺序图,类图,活动图,,D,未分类,单选题
10174,"采用白盒测试方法对下图进行测试，设计了4个测试用例：①(x=0，y=3)，②( x=1, y=2)，③(x=-1，y=2)，④(x=3, y=1)。至少需要测试用例①②才能完成(     )覆盖。",语句,条件,判定／条件,路径,,A,未分类,单选题
10175,1.非功能性需求包括？,性能,约束,对外接口,质量属性,,ABCD,未分类,多选题
10176,2.在UML用例建模中，用例（Use Case）主要用于描述：,系统的功能,系统的用户,系统与外部系统的交互,系统内部的工作机制,,AC,未分类,多选题
10177,3.经济可行性分析通常涉及哪些内容？,成本估算,收益预测,投资回报期分析,市场竞争力评估,风险评估,ABCD,未分类,多选题
10178,4.以下哪些是白盒测试的挑战？,需要了解代码内部结构,测试用例设计复杂,难以发现与功能需求不符的问题,覆盖所有路径和条件困难,测试结果易受代码变化影响,ABCD,未分类,多选题
10179,5.螺旋模型结合了哪些过程模型的特点？,瀑布模型,原型模型,增量模型,敏捷模型,喷泉模型,AB,未分类,多选题
10180,6.下列哪项不是敏捷开发中的常见角色？,产品负责人,Scrum Master,项目经理,开发团队,,C,未分类,多选题
10181,7.需求的层次分为,功能需求,业务需求,用户需求,系统需求,,BCD,未分类,多选题
10182,8.面向对象分析中的协作关系可以通过哪些方式来表示？,类图,对象图,顺序图,活动图,状态图,ABCDE,未分类,多选题
10183,1.经济可行性分析通常涉及哪些内容？ [cite: 54],成本估算,收益预测,投资回报期分析,市场竞争力评估,风险评估,ABC,未分类,多选题
10184,2.以下哪些是白盒测试的挑战？ [cite: 57],需要了解代码内部结构,测试用例设计复杂,难以发现与功能需求不符的问题,覆盖所有路径和条件困难,测试结果易受代码变化影响,ABCD,未分类,多选题
10185,3.面向对象分析中的协作关系可以通过哪些方式来表示？ [cite: 60],类图,对象图,顺序图,活动图,状态图,ABCDE,未分类,多选题
10186,4.在选择软件工程过程模型时，应考虑哪些因素？ [cite: 63],项目规模,项目复杂性,团队经验,客户需求稳定性,开发工具和技术,ABCDE,未分类,多选题
10187,5.需求的层次分为 [cite: 66],功能需求,业务需求,用户需求,系统需求,,BCD,未分类,多选题
10188,6.经济可行性分析通常涉及哪些内容？ [cite: 69],成本估算,收益预测,投资回报期分析,市场竞争力评估,风险评估,ABC,未分类,多选题
10189,7.非功能性需求包括？ [cite: 72],性能,约束,对外接口,质量属性,,AD,未分类,多选题
10190,8.技术可行性分析主要包括哪些方面？ [cite: 75],评估现有技术是否能够满足项目需求,分析新技术的学习和掌握难度,确定项目所需的技术资源和人力资源,预测技术发展的趋势和可能的技术风险,,ABCD,未分类,多选题
10191,需求的层次分为（）,功能需求,业务需求,用户需求,系统需求,,BCD,未分类,多选题
10192,以下关于软件测试的叙述中，正确的是（   )。,软件测试不仅能表明软件中存在错误，也能说明软件中不存在错误,在一个被测程序段中，若已发现的错误越多，则残存的错误数越少,软件测试只能表明缺陷的存在，而不能证明软件产品已经没有缺陷,要集中测试容易出错或错误较多的模块,,C,未分类,多选题
10193,下列系统设计 tools 中，哪些不属于详细设计 tools。,N—S图,数据流图,程序流程图,PAD图,状态转换图,B,未分类,多选题
10194,以下关于软件测试的叙述中，错误的是（   )。,软件测试不仅能表明软件中存在错误，也能说明软件中不存在错误,一个成功的测试能发现至今未发现的错误,在一个被测程序段中，若已发现的错误越多，则残存的错误数越少,软件测试只能表明缺陷的存在，而不能证明软件产品已经没有缺陷,完全测试是不可能的,AC,未分类,多选题
10195,下列系统设计 tools 中，哪些属于详细设计 tools。,N—S图,数据流图,程序流程图,PAD,状态转换图,ACD,未分类,多选题
10196,需求的层次分为(   ),业务需求,用户需求,功能需求,非功能需求,系统需求,ABCE,未分类,多选题
10197,1. 软件测试是软件开发过程中一个独立的、与其他阶段无关的阶段,正确,错误,,,,B,未分类,判断题
10198,2. 在用例图中，一个参与者可以与多个用例相关联，表示该参与者可以触发多个功能,正确,错误,,,,A,未分类,判断题
10199,3. 敏捷开发方法中的"自组织团队"意味着团队成员可以自由地选择他们想要完成的任务和工作方式,正确,错误,,,,A,未分类,判断题
10200,4.用例之间有扩展、使用、组合等几种关系。,正确,错误,,,,A,未分类,判断题
10201,5.判定表的优点是容易转换为计算机实现，缺点是不能描绘组合条件。,正确,错误,,,,B,未分类,判断题
10202,6. 结构化方法不适用于大型、复杂的软件开发项目,正确,错误,,,,B,未分类,判断题
10203,7. 原型模型是一种快速开发软件的方法，它允许在开发过程中进行多次迭代和修改,正确,错误,,,,A,未分类,判断题
10204,1. 用例图只能用于描述系统的功能需求，不能用于描述非功能需求 [cite: 79],正确,错误,,,,B,未分类,判断题
10205,2. 敏捷开发方法强调快速响应变化，因此不需要进行详细的需求分析 [cite: 82],正确,错误,,,,B,未分类,判断题
10206,3.投资回收期越长，获得利润就越快，项目越值得开发。 [cite: 85],正确,错误,,,,B,未分类,判断题
10207,4.顺序图用于描述对象是如何交互的且将重点放在消息序列上。 [cite: 88],正确,错误,,,,A,未分类,判断题
10208,5.需求分析是开发方的工作，用户的参与度不大。 [cite: 91],正确,错误,,,,B,未分类,判断题
10209,6.软件工程学科出现的主要原因是软件危机出现 [cite: 94],正确,错误,,,,A,未分类,判断题
10210,7. 软件测试是软件开发过程中一个独立的、与其他阶段无关的阶段 [cite: 97],正确,错误,,,,B,未分类,判断题
10211,判定表的优点是容易转换为计算机实现，缺点是不能够描述组合条件。,正确,错误,,,,B,结构化分析,判断题
10212,面向对象的开发，对象分解取代功能分解。,正确,错误,,,,A,面向对象方法,判断题
10213,UML 顺序图通过描述类间的消息传递，进而来刻画类与类之间如何通过交互和协作来实现用例功能。,正确,错误,,,,A,UM,判断题
10214,安全性（如确保隐私和防止非法访问）也是一种软件需求。,正确,错误,,,,A,需求分析,判断题
10215,软件文档、程序代码、测试用例等均可作为软件配置项纳入配置管理。,正确,错误,,,,A,软件工程概述,判断题
10216,瀑布模型的最大优点是将软件开发的各个阶段划分得十分清晰。,正确,错误,,,,B,软件过程,判断题
10217,需求分析的主要目的是解决软件开发的具体方案。,正确,错误,,,,B,需求分析,判断题
10218,划分模块可以降低软件的复杂度和工作量，所以应该将模块分得越小越好。,正确,错误,,,,B,结构化设计,判断题
10219,在软件开发过程中，系统测试阶段的测试目标来自于需求分析阶段。,正确,错误,,,,A,软件测试,判断题
10220,需求规格说明书在软件开发中具有重要的作用，它也可以作为软件可行性研究的依据。,正确,错误,,,,B,未分类,判断题
10221,划分模块可以降低软件的复杂度和工作量，所以应该将模块分得越小越好。,正确,错误,,,,B,软件过程,判断题
10222,在软件开发过程中，系统测试阶段的测试目标来自于需求分析阶段。,正确,错误,,,,A,未分类,判断题
10223,判定表的优点是容易转换为计算机实现，缺点是不能够描述组合条件。,正确,错误,,,,B,结构化分析,判断题
10224,面向对象的开发，对象分解取代功能分解。,正确,错误,,,,A,未分类,判断题
10225,UML 顺序图通过描述类间的消息传递，进而来刻画类与类之间如何通过交互和协作来实现用例功能。,正确,错误,,,,A,未分类,判断题
10226,软件工程学科出现的主要原因是软件危机的出现。,正确,错误,,,,A,软件工程概述,判断题
10227,螺旋模型是利用笛卡尔坐标的四个象限分别代表四个方面的活动来表示。,正确,错误,,,,B,软件过程,判断题
10228,划分模块可以降低软件的复杂度和工作量，所以应该将模块分得越小越好,正确,错误,,,,B,结构化设计,判断题
10229,等价类划分法是一种最常用的黑盒测试技术。,正确,错误,,,,A,软件测试,判断题
10230,在详细设计中常采用的 tools 有层次图、PAD（问题分析图）、程序流程图、盒图等。,正确,错误,,,,A,结构化设计,判断题
10231,需求规格说明书描述了系统每个功能的实现,正确,错误,,,,B,需求分析,判断题
10232,面向对象分析方法与结构化分析方法的主要区别是：一个使用了"抽象"，一个没有使用"抽象"。,正确,错误,,,,B,面向对象方法,判断题
10233,结构化设计方法是面向数据流的设计方法。,正确,错误,,,,A,结构化设计,判断题
10234,软件开发的主要任务是写程序。,正确,错误,,,,B,软件工程概述,判断题
10235,可行性研究的目的不是解决问题，而是确定问题是否值得去解。,正确,错误,,,,A,可行性分析,判断题
10236,面向对象分析方法与结构化分析方法的主要区别是：一个使用了"抽象"，一个没有使用"抽象"。,正确,错误,,,,B,需求分析,判断题
10237,划分模块可以降低软件的复杂度和工作量，所以应该将模块分得越小越好,正确,错误,,,,B,结构化设计,判断题
10238,等价类划分法是一种最常用的黑盒测试技术。,正确,错误,,,,A,软件测试,判断题
10239,模块化原则仅适合于结构化软件设计，不适合面向对象的软件设计,正确,错误,,,,B,结构化设计,判断题
10240,软件项目开发时间与从事开发工作的人数并不成反比关系。,正确,错误,,,,A,软件测试,判断题
10241,瀑布模型的最大优点是将软件开发的各个阶段划分得十分清晰,正确,错误,,,,B,软件过程,判断题
10242,瀑布模型的最大优点是将软件开发的各个阶段划分得十分清晰。,正确,错误,,,,B,软件过程,判断题
10243,需求分析的主要目的是解决软件开发的具体方案。,正确,错误,,,,B,需求分析,判断题
10244,划分模块可以降低软件的复杂度和工作量，所以应该将模块分得越小越好。,正确,错误,,,,B,结构化设计,判断题
10245,所有的测试都应该能追溯到用户需求。,正确,错误,,,,A,软件测试,判断题
10246,在软件开发过程中，系统测试阶段的测试目标来自于需求分析阶段。,正确,错误,,,,A,软件测试,判断题
10247,螺旋模型是在瀑布模型和增量模型的基础上增加了风险分析活动。,正确,错误,,,,A,软件过程,判断题
10248,需求规格说明书在软件开发中具有重要的作用，它也可以作为软件可行性研究的依据。,正确,错误,,,,B,需求分析,判断题
10249,所有的测试都应该能追溯到用户需求。,正确,错误,,,,A,软件测试,判断题
10250,在软件开发过程中，系统测试阶段的测试目标来自于需求分析阶段。,正确,错误,,,,A,软件测试,判断题
10251,结构化分析中，需求分析的结果通常以数据流图的形式呈现。,正确,错误,,,,B,未分类,判断题
10252,安全性（如确保隐私和防止非法访问）也是一种软件需求。,正确,错误,,,,A,未分类,判断题
10253,软件文档、程序代码、测试用例等均可作为软件配置项纳入配置管理。,正确,错误,,,,A,未分类,判断题
10254,白盒法又称为逻辑覆盖法，主要用于系统测试。,正确,错误,,,,B,未分类,判断题
10255,UML 用例文档中，扩展路径用于标识用例的关键执行步骤。,正确,错误,,,,B,未分类,判断题
10256,在敏捷开发中，Scrum 是一种用于迭代和自组织的开发过程框架。,正确,错误,,,,A,未分类,判断题
10257,软件危机是指计算机硬件发展的太快，软件开发跟不上硬件的更新,正确,错误,,,,B,未分类,判断题
10258,模块独立要求低耦合高内聚。,正确,错误,,,,A,未分类,判断题
10259,信息建模方法是从数据的角度来建立信息模型的，最常用的描述信息模型的方法是实体关系图,正确,错误,,,,A,未分类,判断题
10260,结构化分析中，需求分析的结果通常以数据流图的形式呈现。,正确,错误,,,,B,未分类,判断题
10261,软件工程学科出现的主要原因是软件危机的出现。,正确,错误,,,,A,未分类,判断题
10262,敏捷开发强调在项目周期中早期、频繁地交付可工作的软件。,正确,错误,,,,A,未分类,判断题
10263,UML 用例文档中，扩展路径用于标识用例的关键执行步骤。,正确,错误,,,,B,未分类,判断题
10264,模块独立要求高耦合低内聚,正确,错误,,,,B,未分类,判断题
10265,白盒法又称为逻辑覆盖法，主要用于单元测试。,正确,错误,,,,A,未分类,判断题
10266,信息建模方法是从数据的角度来建立信息模型的，最常用的描述信息模型的方法是E-R图,正确,错误,,,,A,未分类,判断题
